title,brand,description,price/currency,price/value,stars,reviewsCount
SOJOS Retro Polarized Aviator Sunglasses for Women Men Classic 70s Vintage Trendy Square Aviators,SOJOS,,,,4.4,8032.0
WearMe Pro - Reflective Lens Round Trendy Sunglasses,WearMe Pro,,,,4.5,19647.0
TURBOPEP Square Polarized Sunglasses for Men and Women Lightweight Frame Sun Glasses with UV Protection,TURBOPEP,,,,4.5,475.0
"Locs Gangster Oversized Rectangular Horn Rim Sunglasses All Black, mens",Locs,Macho men's authentic OG Locs gangster shades with unique color mirrored reflective lens thin plastic oversized hornrim horn rim sunglasses.,$,7.35,4.5,3090.0
ATTCL Polarized Wrap Sunglasses For Men - Fishing Sports Glasses UV Protection,ATTCL,,,,4.4,6299.0
SOJOS Classic Square Sunglasses for Women Men with Spring Hinge Sunnies SJ1137,SOJOS,,,,4.6,4397.0
MERRY'S Rectangular Polarized Sports Sunglasses for Men Women Cycling Driving Fishing UV400 Protection S8225,MERRY'S,,$,13.99,4.4,6977.0
SUNGAIT Vintage Round Sunglasses for Women Men Classic Retro Designer Style,SUNGAIT,,,,4.6,51091.0
grinderPUNCH XL Men's Big Wide Frame Black Sunglasses - Extra Large Square 148mm,grinderPUNCH,"Dark Black Tint Lens! Perfect for Days Spent outdoors playing sports! X-Large Wide Fit Sunglasses, Lens Width: 60mm, Height: 52mm, Overall Frame Width: 148mm. 100% UV400 Protection. Wide Frame Specially Designed to Fit Large Wide Face or Heads. Standard size sunglasses run 135-138mm wide. *Bonus* includes grinderPUNCH Microfiber Cleaning Pouch",$,15.99,4.2,4207.0
Buyisgle Eye Glasses Holder Strap - Sunglasses Straps Cords for Men Women Kids - Eyeglass Holders Around Neck - Eyewear String Lanyard Retainer - 2 PCS（Black,Buyisgle,,$,9.96,4.6,46.0
Locs Sunglasses Hardcore Black 0103,Locs,,,,4.5,3158.0
